feature_id	role	category	path	lines	bytes	sha256	public_or_runtime_entry	notes
author:CHANGELOG_MD	author	root	CHANGELOG.md	7	297	03695be536e1102361fbab38468f00842451594a5c6f212c7035a3dd932fd8bc	False	配布・検証資産
author:INSTALL_MD	author	root	INSTALL.md	12	507	18e9d4e0c32ce4ae588faf1569964144dc215fd5870b8c442195995f4a9b84f4	True	公開入口または実行資産
author:MANIFEST_TXT	author	root	MANIFEST.txt	27	862	a8a1481f5a9acfc70fa4aa80f4c1068ec4abd5d886c3cde49e054835e0cd58be	False	配布・検証資産
author:README_MD	author	root	README.md	9	731	98074ca5244bd112dea5e02016d716902385bab8a2c22d3dbaeb3d83863f673e	True	公開入口または実行資産
author:SKILL_MD	author	root	SKILL.md	52	3310	37bf448e667876a71b55a4aed9554c5e0df83c6b58ec2f89ff813bd0db8e01a5	True	公開入口または実行資産
author:INIT_PY	author	root	__init__.py	1	52	560b271fc7de6f3cae3b832450b6aa06020e5e1258ef3e2a4b0f46f683ceceef	False	配布・検証資産
author:EVALS_EVALS_JSON	author	evals	evals/evals.json	12	959	7f4b78646cc17f93b941cdf2b01696e21cf38668a48da2fe00464f277e2989d9	False	配布・検証資産
author:EXAMPLES_ACCEPTED_CYCLES_CYCLE_01_AUTHOR_RESPONSE_MD	author	examples	examples/accepted/cycles/cycle-01-author-response.md	18	357	af623b1d9dadacd2a5c1f6250fa1bfb4a4e5ec9ca2de46a06d0de66f33c6df15	False	配布・検証資産
author:EXAMPLES_ACCEPTED_EVENTS_JSONL	author	examples	examples/accepted/events.jsonl	1	126	3d487e8c2de91e9f75b561b1c76f9eee1d3a8d27a134c4f89aac54410d8e16c2	False	配布・検証資産
author:EXAMPLES_ACCEPTED_FINDINGS_YAML	author	examples	examples/accepted/findings.yaml	5	120	f70ab6b4100df3aeec0400e3f45f08d1ebe7d2f292b561c4ab01911823a01817	False	配布・検証資産
author:EXAMPLES_ACCEPTED_HANDOFF_MD	author	examples	examples/accepted/handoff.md	8	162	ea67b88248edcb09966648f487ee42b3ff6a8b914a071ebb5045cf68a786893a	False	配布・検証資産
author:EXAMPLES_ACCEPTED_REVIEW_MD	author	examples	examples/accepted/review.md	8	119	65c6a23875b73384aeef80c977147c62fbe6c29b1215b454deea161736cbb539	False	配布・検証資産
author:EXAMPLES_FIX_SUBMITTED_CYCLES_CYCLE_01_AUTHOR_RESPONSE_MD	author	examples	examples/fix-submitted/cycles/cycle-01-author-response.md	18	318	7c71120199be9e58e5f13ab8875992a1c1d5cf56db56a853d49236a5b4452eec	False	配布・検証資産
author:EXAMPLES_FIX_SUBMITTED_EVENTS_JSONL	author	examples	examples/fix-submitted/events.jsonl	1	176	f046195035802d29b7af5b2f58029e1ca454da4b6ca4599fea130f5527f1106e	False	配布・検証資産
author:EXAMPLES_FIX_SUBMITTED_FINDINGS_YAML	author	examples	examples/fix-submitted/findings.yaml	5	130	c37912ddd04ef08c59e2bd99118e2ca170bc817045fa3eb582c9b0abf8e4de84	False	配布・検証資産
author:EXAMPLES_FIX_SUBMITTED_HANDOFF_MD	author	examples	examples/fix-submitted/handoff.md	8	162	3c594c9f2fc7ea2d098266b0dae058d3fe02578868ed89763de23965609f2738	False	配布・検証資産
author:EXAMPLES_FIX_SUBMITTED_REVIEW_MD	author	examples	examples/fix-submitted/review.md	8	119	7cfcaaf73f3c6e6af83fc000ac19ec7bbedb4218b29e7dd38cf16d2e8d3c9b25	False	配布・検証資産
author:EXAMPLES_REJECTED_WITH_EVIDENCE_CYCLES_CYCLE_01_AUTHOR_RESPONSE_MD	author	examples	examples/rejected-with-evidence/cycles/cycle-01-author-response.md	18	334	40ddae9c7bc0520d1e7c410791229669399642c390886bc62ddd063aeb6227eb	False	配布・検証資産
author:EXAMPLES_REJECTED_WITH_EVIDENCE_EVENTS_JSONL	author	examples	examples/rejected-with-evidence/events.jsonl	1	126	80a3b2bce850f4f88610624829b848450ceae50092ece443c380ca6e25571a67	False	配布・検証資産
author:EXAMPLES_REJECTED_WITH_EVIDENCE_FINDINGS_YAML	author	examples	examples/rejected-with-evidence/findings.yaml	5	113	4f834e1f375e98f55990bb2a44bc9971de8d0b77ccf403b8660da8402b8a2419	False	配布・検証資産
author:EXAMPLES_REJECTED_WITH_EVIDENCE_HANDOFF_MD	author	examples	examples/rejected-with-evidence/handoff.md	8	162	48c8fd4f664dc0d1effe1455299cf82ac5d98b618671c91f703700f8334b1461	False	配布・検証資産
author:EXAMPLES_REJECTED_WITH_EVIDENCE_REVIEW_MD	author	examples	examples/rejected-with-evidence/review.md	8	119	7688a94692858629bf3cdf044d564e10896a02ed1eb54a51376e4c5c2d286843	False	配布・検証資産
author:PYPROJECT_TOML	author	root	pyproject.toml	12	325	f6bccee858cf798e3e903a001a11e070b8f3e433f37d0a9f6f9de468854cc81d	False	配布・検証資産
author:REFERENCES_DISPOSITION_POLICY_MD	author	references	references/disposition-policy.md	12	594	99f2a17aebc50015aea19468b486b4a3cb003d5f5bf0047afe068ecd8697480b	False	配布・検証資産
author:REFERENCES_SECURITY_MD	author	references	references/security.md	5	503	319d044f9c4b7f6523f6eab10b405f12961e4f7f917fe7afc365f2cba2566093	False	配布・検証資産
author:REFERENCES_STATE_TRANSITION_POLICY_MD	author	references	references/state-transition-policy.md	5	410	46046747533a4b428fbab79d42d8f86d65c5b49ea2ca2461c0a83bd7f2dc2de2	False	配布・検証資産
author:SCRIPTS_INIT_PY	author	scripts	scripts/__init__.py	1	82	d00a3d38749bd876d6d30c6dbc8962102c0612008c4ea233951ba968a366ef8f	True	公開入口または実行資産
author:SCRIPTS_EXECUTION_POLICY_PY	author	scripts	scripts/execution_policy.py	31	905	ca181d60f3b60269ab8d2cbe4e243b9e12d20fc84d399928ae0e443c1f2e0663	True	公開入口または実行資産
author:SCRIPTS_SUBMISSION_STORE_PY	author	scripts	scripts/submission_store.py	57	2240	d4e867050ee6605f9d12117da90e3480485ff9948ac3651fb13f1576a69cd1c8	True	公開入口または実行資産
author:SCRIPTS_VALIDATE_AUTHOR_RESPONSE_PY	author	scripts	scripts/validate_author_response.py	148	6422	8d3ba31ff584d1988e2c4c7b0c20d2618edc048c50f5cd41b292d4fbaa3d8d0e	True	公開入口または実行資産
author:TESTS_TEST_AUTHOR_RESPONSE_PY	author	tests	tests/test_author_response.py	65	2648	10bee95ebed1aa055019d74f9012ce2fa84d67c8df90f9766256c7577b46266a	False	配布・検証資産
author:TESTS_TEST_EXECUTION_POLICY_PY	author	tests	tests/test_execution_policy.py	61	1733	5c1bb675390ee0746587bc340bd7092d72007d99dc7ec72838170f92af432154	False	配布・検証資産
author:TESTS_TEST_HANDOFF_SUBMISSION_PY	author	tests	tests/test_handoff_submission.py	59	1901	80d0639fff6a9eb78f214463ece220fd1e87be45f2666b864f116ecb0e00fc66	False	配布・検証資産
author:TESTS_TEST_SUBMISSION_STORE_PY	author	tests	tests/test_submission_store.py	45	1459	189082a7e21f25dd1fe46e896ecfc2ea01d996c3c36828322408e9f6616414c9	False	配布・検証資産
reviewer:CHANGELOG_MD	reviewer	root	CHANGELOG.md	21	964	a9ce9384441481c591d83f72041ea5375d50d718a00f45d0d5e78f7585c84ef2	False	配布・検証資産
reviewer:INSTALL_MD	reviewer	root	INSTALL.md	32	1121	1c91e20b1d4796b771f1b8f078e00385e0fdbb92818c6df3d709a1f74e7ef749	True	公開入口または実行資産
reviewer:MANIFEST_TXT	reviewer	root	MANIFEST.txt	62	1923	74f0682e2c5678b7c86037e36220a2130342abb40aa8f7f7bd51de375c01957e	False	配布・検証資産
reviewer:README_MD	reviewer	root	README.md	107	4468	43c2c2b14df0a937c3c6ba07357021088ca913b25d716a872174a3d8b331cb15	True	公開入口または実行資産
